Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_1/part_1/stage2s
Found 2 empty staffs at page 2, system 2
Found 3 empty staffs at page 4, system 2
Found 1 empty staffs at page 5, system 1
Found 1 empty staffs at page 5, system 2
Found 1 empty staffs at page 7, system 2
Found 1 empty staffs at page 8, system 1
Found 2 empty staffs at page 8, system 2
Found 4 empty staffs at page 9, system 1
Found 4 empty staffs at page 9, system 2
Found 1 empty staffs at page 10, system 1
Found 1 empty staffs at page 10, system 2
Found 1 empty staffs at page 11, system 2
Found 2 empty staffs at page 12, system 2
