Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/brahms_symphony_3/Brahms symphony no 3 updated.musicxml
Found 3 empty staffs at page 2, system 1
Found 3 empty staffs at page 3, system 1
Found 1 empty staffs at page 4, system 1
Found 7 empty staffs at page 5, system 1
Found 5 empty staffs at page 6, system 1
Found 8 empty staffs at page 7, system 1
Found 6 empty staffs at page 8, system 1
Found 6 empty staffs at page 9, system 1
Found 6 empty staffs at page 10, system 1
Found 6 empty staffs at page 11, system 1
Found 6 empty staffs at page 12, system 1
Found 5 empty staffs at page 13, system 1
Found 5 empty staffs at page 14, system 1
Found 2 empty staffs at page 15, system 1
Found 4 empty staffs at page 16, system 1
Found 5 empty staffs at page 17, system 1
Found 7 empty staffs at page 18, system 1
Found 5 empty staffs at page 19, system 1
Found 5 empty staffs at page 20, system 1
Found 5 empty staffs at page 21, system 1
Found 7 empty staffs at page 22, system 1
Found 5 empty staffs at page 23, system 1
Found 3 empty staffs at page 26, system 1
Found 5 empty staffs at page 27, system 1
Found 5 empty staffs at page 28, system 1
Found 6 empty staffs at page 29, system 1
Found 8 empty staffs at page 30, system 1
Found 5 empty staffs at page 31, system 1
Found 5 empty staffs at page 32, system 1
Found 4 empty staffs at page 33, system 1
Found 2 empty staffs at page 34, system 1
Found 2 empty staffs at page 37, system 1
Found 1 empty staffs at page 39, system 1
Found 6 empty staffs at page 40, system 1
Found 3 empty staffs at page 42, system 1
Found 2 empty staffs at page 42, system 2
Found 1 empty staffs at page 43, system 1
Found 3 empty staffs at page 44, system 2
Found 2 empty staffs at page 46, system 2
Found 2 empty staffs at page 52, system 1
Found 3 empty staffs at page 56, system 1
Found 2 empty staffs at page 56, system 2
Found 2 empty staffs at page 57, system 1
Found 2 empty staffs at page 57, system 2
Found 3 empty staffs at page 58, system 1
Found 2 empty staffs at page 60, system 1
Found 2 empty staffs at page 60, system 2
Found 1 empty staffs at page 61, system 1
Found 1 empty staffs at page 61, system 2
Found 3 empty staffs at page 62, system 1
Found 1 empty staffs at page 63, system 1
Found 1 empty staffs at page 63, system 2
Found 1 empty staffs at page 64, system 1
Found 10 empty staffs at page 66, system 1
Found 8 empty staffs at page 67, system 1
Found 8 empty staffs at page 68, system 1
Found 4 empty staffs at page 69, system 1
Found 2 empty staffs at page 71, system 1
Found 3 empty staffs at page 72, system 1
Found 4 empty staffs at page 73, system 1
Found 5 empty staffs at page 74, system 1
Found 4 empty staffs at page 75, system 1
Found 1 empty staffs at page 78, system 1
Found 3 empty staffs at page 80, system 1
Found 3 empty staffs at page 81, system 1
Found 6 empty staffs at page 82, system 1
Found 7 empty staffs at page 83, system 1
Found 7 empty staffs at page 84, system 1
Found 4 empty staffs at page 85, system 1
Found 1 empty staffs at page 86, system 1
Found 1 empty staffs at page 87, system 1
Found 1 empty staffs at page 88, system 1
Found 1 empty staffs at page 89, system 1
Found 1 empty staffs at page 90, system 1
Found 4 empty staffs at page 93, system 1
Found 3 empty staffs at page 94, system 1
Found 3 empty staffs at page 95, system 1
Found 7 empty staffs at page 96, system 1
Found 4 empty staffs at page 97, system 1
Found 1 empty staffs at page 100, system 1
Found 3 empty staffs at page 102, system 1
Found 3 empty staffs at page 103, system 1
Found 6 empty staffs at page 104, system 1
Found 3 empty staffs at page 105, system 1
Found 4 empty staffs at page 106, system 1
Found 4 empty staffs at page 107, system 1
Found 3 empty staffs at page 108, system 1
Found 3 empty staffs at page 109, system 1
Found 3 empty staffs at page 110, system 1
Found 1 empty staffs at page 111, system 1
Found 2 empty staffs at page 112, system 1
Found 2 empty staffs at page 113, system 1
