Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/bruckner_symphony_5/Bruckner symphony no 5 updated.musicxml
Found 14 empty staffs at page 1, system 1
Found 1 empty staffs at page 6, system 1
Found 1 empty staffs at page 6, system 2
Found 6 empty staffs at page 16, system 1
Found 12 empty staffs at page 51, system 1
Found 1 empty staffs at page 54, system 1
Found 1 empty staffs at page 71, system 1
Found 3 empty staffs at page 72, system 1
Found 8 empty staffs at page 78, system 1
Found 5 empty staffs at page 101, system 1
Found 13 empty staffs at page 110, system 1
Found 2 empty staffs at page 135, system 1
Found 1 empty staffs at page 137, system 1
Found 4 empty staffs at page 142, system 1
Found 1 empty staffs at page 153, system 1
Found 5 empty staffs at page 164, system 1
