Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/holst_the_planets/Holst_The_Planets_fixed.mxl
Found 21 empty staffs at page 1, system 1
Found 13 empty staffs at page 2, system 1
Found 8 empty staffs at page 3, system 1
Found 18 empty staffs at page 4, system 1
Found 6 empty staffs at page 5, system 1
Found 5 empty staffs at page 6, system 1
Found 11 empty staffs at page 8, system 1
Found 3 empty staffs at page 9, system 1
Found 1 empty staffs at page 10, system 1
Found 1 empty staffs at page 11, system 1
Found 2 empty staffs at page 13, system 1
Found 2 empty staffs at page 14, system 1
Found 13 empty staffs at page 15, system 1
Found 3 empty staffs at page 16, system 1
Found 1 empty staffs at page 17, system 1
Found 6 empty staffs at page 18, system 1
Found 4 empty staffs at page 19, system 1
Found 3 empty staffs at page 21, system 1
Found 3 empty staffs at page 22, system 1
Found 2 empty staffs at page 24, system 1
Found 8 empty staffs at page 25, system 1
Found 5 empty staffs at page 26, system 1
Found 1 empty staffs at page 27, system 1
Found 2 empty staffs at page 30, system 1
Found 18 empty staffs at page 32, system 1
Found 5 empty staffs at page 33, system 1
Found 5 empty staffs at page 34, system 1
Found 3 empty staffs at page 35, system 2
Found 3 empty staffs at page 36, system 1
Found 1 empty staffs at page 36, system 2
Found 1 empty staffs at page 37, system 2
Found 6 empty staffs at page 38, system 1
Found 6 empty staffs at page 39, system 1
Found 3 empty staffs at page 40, system 1
Found 4 empty staffs at page 40, system 2
Found 4 empty staffs at page 41, system 1
Found 1 empty staffs at page 42, system 1
Found 2 empty staffs at page 43, system 1
Found 10 empty staffs at page 44, system 1
Found 8 empty staffs at page 45, system 1
Found 8 empty staffs at page 46, system 1
Found 5 empty staffs at page 47, system 1
Found 13 empty staffs at page 48, system 1
Found 10 empty staffs at page 49, system 1
Found 7 empty staffs at page 50, system 1
Found 7 empty staffs at page 51, system 1
Found 1 empty staffs at page 51, system 2
Found 2 empty staffs at page 52, system 1
Found 1 empty staffs at page 52, system 2
Found 1 empty staffs at page 53, system 1
Found 1 empty staffs at page 53, system 2
Found 6 empty staffs at page 54, system 1
Found 6 empty staffs at page 54, system 2
Found 1 empty staffs at page 55, system 1
Found 1 empty staffs at page 55, system 2
Found 7 empty staffs at page 58, system 1
Found 5 empty staffs at page 59, system 1
Found 5 empty staffs at page 60, system 1
Found 10 empty staffs at page 61, system 1
Found 7 empty staffs at page 62, system 1
Found 1 empty staffs at page 63, system 2
Found 8 empty staffs at page 64, system 1
Found 4 empty staffs at page 65, system 1
Found 1 empty staffs at page 66, system 1
Found 1 empty staffs at page 67, system 1
Found 6 empty staffs at page 68, system 1
Found 4 empty staffs at page 68, system 2
Found 12 empty staffs at page 69, system 1
Found 12 empty staffs at page 70, system 1
Found 8 empty staffs at page 71, system 1
Found 4 empty staffs at page 72, system 1
Found 24 empty staffs at page 73, system 1
Found 1 empty staffs at page 74, system 1
