Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/mahler_symphony_4/Mahler_Symphony_4_updated.mxl
Found 12 empty staffs at page 1, system 1
Found 2 empty staffs at page 3, system 1
Found 1 empty staffs at page 4, system 1
Found 1 empty staffs at page 7, system 2
Found 4 empty staffs at page 8, system 1
Found 1 empty staffs at page 13, system 1
Found 4 empty staffs at page 14, system 1
Found 1 empty staffs at page 15, system 1
Found 2 empty staffs at page 16, system 1
Found 3 empty staffs at page 17, system 1
Found 5 empty staffs at page 18, system 1
Found 1 empty staffs at page 19, system 2
Found 1 empty staffs at page 21, system 1
Found 1 empty staffs at page 22, system 1
Found 1 empty staffs at page 23, system 1
Found 1 empty staffs at page 25, system 1
Found 1 empty staffs at page 26, system 1
Found 1 empty staffs at page 28, system 1
Found 1 empty staffs at page 29, system 1
Found 2 empty staffs at page 30, system 1
Found 3 empty staffs at page 33, system 1
Found 1 empty staffs at page 35, system 1
Found 1 empty staffs at page 37, system 1
Found 1 empty staffs at page 38, system 1
Found 3 empty staffs at page 39, system 1
Found 1 empty staffs at page 40, system 1
Found 1 empty staffs at page 41, system 1
Found 2 empty staffs at page 44, system 1
Found 5 empty staffs at page 46, system 1
Found 2 empty staffs at page 50, system 1
Found 1 empty staffs at page 51, system 1
Found 4 empty staffs at page 53, system 1
Found 4 empty staffs at page 54, system 1
Found 2 empty staffs at page 58, system 1
Found 1 empty staffs at page 59, system 1
Found 1 empty staffs at page 60, system 1
Found 2 empty staffs at page 61, system 1
Found 2 empty staffs at page 63, system 1
Found 1 empty staffs at page 64, system 1
Found 1 empty staffs at page 65, system 1
Found 1 empty staffs at page 65, system 2
Found 1 empty staffs at page 67, system 1
Found 1 empty staffs at page 67, system 2
Found 1 empty staffs at page 68, system 1
Found 1 empty staffs at page 70, system 1
Found 1 empty staffs at page 70, system 2
Found 1 empty staffs at page 74, system 1
Found 1 empty staffs at page 75, system 1
Found 3 empty staffs at page 76, system 1
Found 1 empty staffs at page 78, system 2
Found 1 empty staffs at page 79, system 1
Found 4 empty staffs at page 80, system 1
Found 3 empty staffs at page 81, system 1
Found 1 empty staffs at page 83, system 1
Found 1 empty staffs at page 84, system 1
Found 1 empty staffs at page 90, system 1
Found 1 empty staffs at page 97, system 2
Found 1 empty staffs at page 100, system 1
Found 2 empty staffs at page 101, system 1
Found 1 empty staffs at page 105, system 1
Found 6 empty staffs at page 108, system 1
Found 1 empty staffs at page 109, system 1
Found 1 empty staffs at page 110, system 1
Found 3 empty staffs at page 111, system 1
Found 2 empty staffs at page 112, system 1
Found 1 empty staffs at page 114, system 1
Found 2 empty staffs at page 116, system 1
Found 1 empty staffs at page 117, system 1
Found 4 empty staffs at page 119, system 1
Found 2 empty staffs at page 120, system 1
Found 1 empty staffs at page 124, system 1
Found 1 empty staffs at page 124, system 2
Found 1 empty staffs at page 125, system 1
Found 1 empty staffs at page 125, system 2
Found 1 empty staffs at page 126, system 2
Found 1 empty staffs at page 128, system 1
Found 1 empty staffs at page 128, system 2
