Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/mozart_symphony_41/Mozart_-_Symphony_No._41_-_Jupiter.musicxml
Found 3 empty staffs at page 2, system 2
Found 1 empty staffs at page 4, system 1
Found 5 empty staffs at page 4, system 2
Found 4 empty staffs at page 5, system 1
Found 3 empty staffs at page 7, system 1
Found 1 empty staffs at page 7, system 2
Found 3 empty staffs at page 8, system 2
Found 3 empty staffs at page 9, system 1
Found 3 empty staffs at page 9, system 2
Found 3 empty staffs at page 10, system 1
Found 2 empty staffs at page 10, system 2
Found 2 empty staffs at page 14, system 1
Found 3 empty staffs at page 16, system 1
Found 2 empty staffs at page 16, system 2
Found 1 empty staffs at page 23, system 1
Found 2 empty staffs at page 26, system 1
Found 3 empty staffs at page 31, system 1
Found 1 empty staffs at page 34, system 1
Found 2 empty staffs at page 34, system 2
Found 6 empty staffs at page 35, system 1
Found 6 empty staffs at page 37, system 1
Found 1 empty staffs at page 38, system 1
Found 1 empty staffs at page 38, system 2
Found 3 empty staffs at page 39, system 1
Found 3 empty staffs at page 43, system 2
Found 1 empty staffs at page 45, system 2
Found 3 empty staffs at page 46, system 1
Found 3 empty staffs at page 49, system 2
Found 2 empty staffs at page 54, system 2
Found 1 empty staffs at page 55, system 1
Found 1 empty staffs at page 55, system 2
