Score bruckner_symphony_9 with Dalitz
Page	Found	True	Accuracy
165		23		24		0.9565217391304348
179		23		24		0.9565217391304348
Total accuracy 0.9995311767463666, avg. page accuracy 0.9995299647473561
------------------------
Score beethoven_symphony_5 with Dalitz
Page	Found	True	Accuracy
7		22		21		0.9545454545454546
12		23		21		0.9130434782608696
48		17		18		0.9411764705882353
63		23		25		0.9130434782608696
Total accuracy 1.0, avg. page accuracy 0.9968024009385681
------------------------
Score mahler_symphony_4 with Dalitz
Page	Found	True	Accuracy
1		20		19		0.95
8		19		18		0.9473684210526316
12		18		16		0.8888888888888888
15		20		21		0.95
16		25		26		0.96
17		22		21		0.9545454545454546
18		24		23		0.9583333333333334
19		26		25		0.9615384615384616
20		26		25		0.9615384615384616
21		20		18		0.9
22		20		19		0.95
25		20		18		0.9
26		21		19		0.9047619047619048
27		22		20		0.9090909090909091
28		22		19		0.8636363636363636
29		22		19		0.8636363636363636
30		19		17		0.8947368421052632
31		24		23		0.9583333333333334
33		17		15		0.8823529411764706
34		19		17		0.8947368421052632
35		19		17		0.8947368421052632
36		19		17		0.8947368421052632
41		23		20		0.8695652173913043
46		17		15		0.8823529411764706
47		17		15		0.8823529411764706
48		21		18		0.8571428571428572
49		24		23		0.9583333333333334
51		18		16		0.8888888888888888
54		20		19		0.95
55		17		16		0.9411764705882353
57		15		14		0.9333333333333333
62		16		15		0.9375
73		18		16		0.8888888888888888
74		22		19		0.8636363636363636
75		24		21		0.875
76		17		16		0.9411764705882353
94		21		20		0.9523809523809523
96		20		19		0.95
98		23		22		0.9565217391304348
99		27		25		0.9259259259259259
103		16		15		0.9375
104		16		15		0.9375
105		19		18		0.9473684210526316
108		20		18		0.9
109		19		17		0.8947368421052632
110		20		18		0.9
111		21		20		0.9523809523809523
112		21		18		0.8571428571428572
113		16		15		0.9375
115		21		19		0.9047619047619048
116		23		20		0.8695652173913043
118		22		19		0.8636363636363636
120		19		18		0.9473684210526316
121		19		18		0.9473684210526316
122		23		20		0.8695652173913043
123		17		15		0.8823529411764706
126		23		22		0.9565217391304348
Total accuracy 0.9625453080950463, avg. page accuracy 0.9625188892719533
------------------------
Score beethoven_symphony_6 with Dalitz
Page	Found	True	Accuracy
11		21		20		0.9523809523809523
12		22		19		0.8636363636363636
14		20		19		0.95
32		20		21		0.95
37		20		19		0.95
54		22		21		0.9545454545454546
55		24		22		0.9166666666666666
60		24		23		0.9583333333333334
63		22		21		0.9545454545454546
70		23		22		0.9565217391304348
72		22		21		0.9545454545454546
73		23		22		0.9565217391304348
74		22		21		0.9545454545454546
Total accuracy 0.9912005028284098, avg. page accuracy 0.9907878811703799
------------------------
Score holst_the_planets with Dalitz
Page	Found	True	Accuracy
1		34		27		0.7941176470588236
2		29		28		0.9655172413793104
4		29		27		0.9310344827586207
5		29		24		0.8275862068965517
6		25		24		0.96
7		25		23		0.92
11		28		26		0.9285714285714286
13		24		19		0.7916666666666666
14		26		24		0.9230769230769231
15		26		25		0.9615384615384616
16		29		25		0.8620689655172413
