Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/tchaikovsky_ouverture_1812/Tchaikovsky_-_1812_Overture_fixed.mxl
Found 25 empty staffs at page 1, system 1
Found 1 empty staffs at page 14, system 1
Found 1 empty staffs at page 20, system 1
Found 3 empty staffs at page 24, system 1
Found 2 empty staffs at page 25, system 1
Found 1 empty staffs at page 28, system 1
Found 1 empty staffs at page 38, system 1
Found 1 empty staffs at page 39, system 1
Found 1 empty staffs at page 40, system 1
Found 3 empty staffs at page 42, system 2
Found 3 empty staffs at page 45, system 1
Found 1 empty staffs at page 51, system 1
Found 1 empty staffs at page 55, system 1
Found 1 empty staffs at page 58, system 1
Found 1 empty staffs at page 59, system 1
Found 1 empty staffs at page 60, system 1
Found 1 empty staffs at page 61, system 1
Found 1 empty staffs at page 63, system 2
Found 1 empty staffs at page 67, system 1
